"","X","Date","Open","High","Low","Last","Close","Total.Trade.Quantity","Turnover..Lacs."
"62",62,"2013-03-10",2988,2989,2957.25,2970.5,2970.25,770362,22886.22
"63",63,"2013-03-17",2876.35,2911.65,2868.05,2877.9,2878.25,907599,26206.27
"64",64,"2013-03-24",2849.95,2875.5,2830,2860,2863.2,921286,26330.75
"65",65,"2013-03-31",2865,2896.95,2851.2,2885,2889.35,1543506,44540.5
"66",66,"2013-04-07",2879,2899,2850,2853,2865.85,546620,15730.72
"67",67,"2013-04-14",2625.05,2625.05,2268.7,2273.05,2296.65,12253468,289783.33
"68",68,"2013-04-21",2286.4,2323,2281.3,2295,2295.7,1653046,37942.94
"69",69,"2013-04-28",2220.1,2237.8,2202.5,2210.05,2212,1391198,30782.48
"70",70,"2013-05-05",2296.75,2324,2278.2,2309,2307.95,1139649,26326.12
"71",71,"2013-05-12",2360.1,2370,2351.1,2359,2361.95,25804,609.81
"72",72,"2013-05-19",2336.9,2369,2335,2352,2351.75,803969,18896.2
"73",73,"2013-05-26",2361.6,2385,2334,2360,2347.9,461081,10825.95
"74",74,"2013-06-02",2342,2434.9,2342,2404,2411.7,2312288,55414.8
"75",75,"2013-06-09",2425,2472.9,2420,2450.5,2446.8,827271,20269.56
"76",76,"2013-06-16",2391.7,2409,2377.15,2398,2394.95,698008,16718.32
"77",77,"2013-06-23",2370.6,2432,2370.6,2403,2418.75,770171,18506.6
"78",78,"2013-06-30",2471.2,2507.75,2424,2493,2498.85,1463424,36166.34
"79",79,"2013-07-07",2467,2483.55,2438.7,2459,2456.2,542170,13364.84
"80",80,"2013-07-14",2781.15,2905.6,2750,2804.45,2804.2,6609130,186022.28
"81",81,"2013-07-21",2803,2865,2803,2844.95,2847.45,2050355,58464.24
"82",82,"2013-07-28",2930,2953,2902.6,2910,2913.3,862455,25274.89
"83",83,"2013-08-04",2985,3020,2981.1,3006,3008.8,1495287,44965.85
"84",84,"2013-08-11",2940,2978,2940,2956.9,2964.55,720671,21344.85
"85",85,"2013-08-18",3020,3039.95,2967.65,2985.3,2978.4,1510952,45293.06
"86",86,"2013-08-25",3005,3019.95,2982.3,3011,3000.7,687358,20603.18
"87",87,"2013-09-01",3092,3122.9,3037.5,3107.45,3105.85,1584820,48973.5
"88",88,"2013-09-08",3005.9,3071.9,3005.9,3021,3029.05,1683241,51199.91
"89",89,"2013-09-15",3060.25,3065.85,3013.3,3029.1,3028.05,1156923,35063.58
"90",90,"2013-09-22",3000,3032,2983.5,2990,2995.15,998964,30060.2
"91",91,"2013-09-29",3024,3051,2991,3011,3006.6,712696,21498.35
"92",92,"2013-10-06",3026.25,3039,3005,3017,3016.4,919102,27766.26
"93",93,"2013-10-13",3335,3338,3156.8,3278.3,3274.5,5161325,168348.5
"94",94,"2013-10-20",3286,3323.9,3261,3308.5,3314.55,1368097,45207.95
"95",95,"2013-10-27",3328,3350,3306.3,3328,3331.55,751418,25034.01
"96",96,"2013-11-03",3280,3295.75,3273.2,3280,3279.4,50502,1657.87
"97",97,"2013-11-10",3350,3389.2,3350,3361,3360.05,1077014,36230.58
"98",98,"2013-11-17",3352.3,3375,3350.05,3354,3354.25,542941,18251.59
"99",99,"2013-11-24",3346,3375,3336,3352.45,3347.6,340117,11410.39
"100",100,"2013-12-01",3336,3366,3310,3355.05,3354.55,676445,22682.67
"101",101,"2013-12-08",3339.05,3349,3318.2,3327,3325.8,818106,27237.84
"102",102,"2013-12-15",3345,3380,3345,3373,3373.85,1039453,34981.13
"103",103,"2013-12-22",3525,3573,3508.4,3564,3551.35,1085682,38435.75
"104",104,"2013-12-29",3530,3572,3529.95,3562.65,3561.3,922758,32860.67
"105",105,"2014-01-05",3475,3575,3454.25,3561.2,3565.15,1255793,44453.89
"106",106,"2014-01-12",3490,3575,3448,3556,3551.25,3782272,133677.59
"107",107,"2014-01-19",3729,3764.65,3720,3741,3729.75,3208487,120246.53
"108",108,"2014-01-26",3765,3796.95,3754.7,3764.8,3758.15,859573,32434.28
"109",109,"2014-02-02",3700,3739.75,3686.55,3692.4,3701.1,671241,24956.28
"110",110,"2014-02-09",3587,3601.85,3548.85,3571,3566.55,943932,33830.61
"111",111,"2014-02-16",3615.55,3664,3603.25,3654.95,3644.3,745271,27036.35
"112",112,"2014-02-23",3736,3755.4,3727.25,3754.95,3750.7,689748,25808.64
"113",113,"2014-03-02",3761.1,3837.15,3761.1,3828.65,3824.85,1229937,46892.39
"114",114,"2014-03-09",3827,3834,3708.3,3740,3740.3,1884093,70688.94
"115",115,"2014-03-16",3340,3403.9,3335.05,3390,3394.15,1395943,47216.27
"116",116,"2014-03-23",3294,3313.8,3281.2,3294,3296.05,51669,1704.17
"117",117,"2014-03-30",3240.1,3279,3227.3,3255,3262.6,893353,29070.61
"118",118,"2014-04-06",3351,3356,3306.1,3309,3316.05,490698,16353.96
"119",119,"2014-04-13",3210,3255.6,3165,3237.95,3235.15,2334792,74760.08
"120",120,"2014-04-20",3180,3210.05,3158.35,3185,3192.05,1048989,33446.07
"121",121,"2014-04-27",3188,3200,3163.35,3174.1,3175.6,745363,23662.41
"122",122,"2014-05-04",3185,3247,3185,3219.7,3219.7,595549,19172.98
"123",123,"2014-05-11",3065,3125,3052.85,3109.2,3111.45,772425,23961.89
"124",124,"2014-05-18",3299,3340,3059.05,3182.9,3177.55,1773599,57001.37
"125",125,"2014-05-25",3125,3171,3012.15,3071,3069.55,1135222,35245.74
"126",126,"2014-06-01",2940,2959.45,2880,2943,2939.4,3504452,102787.74
"127",127,"2014-06-08",3000.15,3010,2950,3000,3003.05,2110303,62831.69
"128",128,"2014-06-15",3188.5,3207,3131.05,3187,3187,1268968,40273.76
"129",129,"2014-06-22",3320,3339.4,3292.85,3310,3316.6,1106625,36714.25
"130",130,"2014-06-29",3200,3235.6,3172,3225.45,3223.4,861343,27732.75
"131",131,"2014-07-06",3200.05,3258.4,3200.05,3246,3245.95,719121,23197.19
"132",132,"2014-07-13",3401.4,3432,3300.35,3325,3326.65,1978295,66242.09
"133",133,"2014-07-20",3253,3274.7,3243.6,3245.8,3251.55,512296,16675.96
"134",134,"2014-07-27",3399,3399,3304.7,3364,3352.2,667209,22324.82
"135",135,"2014-08-03",3350,3392,3330,3337.05,3341.3,950876,31915.81
"136",136,"2014-08-10",3500,3520,3475,3480,3482.65,476419,16631.07
"137",137,"2014-08-17",3608,3627.7,3586.6,3613.05,3612.55,845310,30526.65
"138",138,"2014-08-24",3548.95,3608,3548,3596,3601,606880,21792.6
"139",139,"2014-08-31",3629,3633.65,3581.2,3595,3598.8,949913,34223.44
"140",140,"2014-09-07",3732,3795,3705.35,3730,3730.75,808544,30235.19
"141",141,"2014-09-14",3688,3708,3650,3673.95,3669.9,488444,17926
"142",142,"2014-09-21",3699,3787.9,3681.3,3691.95,3702.05,1844377,68620.26
"143",143,"2014-09-28",3685,3720.25,3660.5,3683,3680.15,1108105,40814.43
"144",144,"2014-10-05",3722,3859.95,3722,3849,3847.3,1183858,45198.66
"145",145,"2014-10-12",3660,3908,3572.7,3884.2,3888.65,5736632,220499.11
"146",146,"2014-10-19",3864.9,3922.8,3837.1,3860,3851.65,1023752,39647.21
"147",147,"2014-10-26",3804.85,3813.45,3797.15,3809,3805.05,81303,3092.97
"148",148,"2014-11-02",3987.05,4066,3987.05,4054,4051.25,1083850,43671.63
"149",149,"2014-11-09",4118.3,4183,4118.3,4160,4166.6,1246300,51846.19
"150",150,"2014-11-16",4194,4211.45,4174,4182.9,4191.65,654147,27432.73
"151",151,"2014-11-23",4170,4179,4101.6,4144,4146.15,1307909,54271.22
"152",152,"2014-11-30",4370.1,4398,4343.4,4344,4359.85,1793408,78381.31
"153",153,"2014-12-07",2115,2116.6,2059.8,2063.4,2070.3,1839690,38243.21
"154",154,"2014-12-14",1939.05,1960.4,1918.1,1940.3,1938.65,3643125,70651.3
"155",155,"2014-12-21",1997.6,2008,1986,1995.5,1998.65,3573658,71325.47
"156",156,"2014-12-28",1945.1,1960.7,1930.95,1951.9,1952.25,567187,11039.5
"157",157,"2015-01-04",1972,2019.05,1972,2017.95,2013.2,1694580,33946.69
"158",158,"2015-01-11",1980.1,2109,1913.05,2075.3,2074.45,11215832,228543.89
"159",159,"2015-01-18",2148,2160,2112,2115,2118.3,1672740,35558.58
"160",160,"2015-01-25",2200,2225,2165.1,2211.9,2215.05,2371582,52046.24
"161",161,"2015-02-01",2161.5,2162.55,2126.95,2141.85,2141.9,2708436,58080.66
"162",162,"2015-02-08",2205,2247.8,2188.5,2228,2230.5,1863432,41545.34
"163",163,"2015-02-15",2299.6,2326.7,2286,2294,2296.1,1414379,32585.72
"164",164,"2015-02-22",2328.5,2336,2276.9,2280.5,2283.1,1742907,40054.41
"165",165,"2015-03-01",2274.75,2307.9,2256.2,2298,2296.45,799334,18233.2
"166",166,"2015-03-08",2267.05,2298.75,2233.35,2249,2247.6,1421229,32084.55
"167",167,"2015-03-15",2225,2230,2192.4,2220,2220.4,1544921,34200.87
"168",168,"2015-03-22",2241,2268.9,2232.95,2263.55,2257.45,1607724,36256.98
"169",169,"2015-03-29",2164,2224.7,2163,2202,2202.15,2518555,55494.35
"170",170,"2015-04-05",2198.9,2199.5,2157.7,2171,2173.95,1684622,36575.6
"171",171,"2015-04-12",2210.2,2238,2210.2,2228.75,2233.95,1780944,39712.8
"172",172,"2015-04-19",2180.05,2194.95,2153.45,2180,2179.25,1612579,35107.87
"173",173,"2015-04-26",2135.9,2150.2,1980,1993,1995.2,10891363,225481.39
"174",174,"2015-05-03",1960,1965,1932.3,1943.5,1942.25,3283565,63814.51
"175",175,"2015-05-10",1958,1967.55,1945.25,1962.1,1957.95,1444419,28259.94
"176",176,"2015-05-17",1935,1966.6,1932.3,1958.9,1961.75,1297336,25328.66
"177",177,"2015-05-24",2044,2051.55,2030.1,2041.9,2046.45,1722206,35185.86
"178",178,"2015-05-31",2004.85,2056.45,2001,2029.8,2023.15,4748261,96128.69
"179",179,"2015-06-07",2030,2044,2008.15,2011.5,2011.65,1531447,30948.83
"180",180,"2015-06-14",2005,2025.55,1955.5,1978.05,1975.05,2463231,49050.86
"181",181,"2015-06-21",1010.3,1010.4,993.1,997,995.35,3335229,33315.54
"182",182,"2015-06-28",999,1011.6,998.1,1005.9,1005.25,2660142,26758.55
"183",183,"2015-07-05",988,993,982,990.4,990.3,1347653,13337.78
"184",184,"2015-07-12",948.1,952.1,932.65,935.5,937.5,3705761,34878.07
"185",185,"2015-07-19",991,1004.5,989.1,999.75,1001.85,1723989,17196.15
"186",186,"2015-07-26",1095.55,1106.45,1083.1,1088,1087.6,2240151,24433.52
"187",187,"2015-08-02",1078.55,1081.35,1060,1078.5,1077.05,3965506,42492.29
"188",188,"2015-08-09",1079.5,1101,1078.5,1096.5,1095.6,2494029,27330.64
